-100.00 -60.00   3.1
-99.50 -60.00   3.3
-99.00 -60.00   3.5
-98.50 -60.00   3.8
-98.00 -60.00   4.1
-97.50 -60.00   4.5
-97.00 -60.00   4.8
-96.50 -60.00   5.1
-96.00 -60.00   5.4
-95.50 -60.00   5.7
-95.00 -60.00   5.8
-94.50 -60.00   5.8
-94.00 -60.00   5.8
-93.50 -60.00   6.1
-93.00 -60.00   6.5
-92.50 -60.00   6.9
-92.00 -60.00   7.1
-91.50 -60.00   7.0
-91.00 -60.00   6.8
-90.50 -60.00   6.7
-90.00 -60.00   6.7
-89.50 -60.00   6.7
-89.00 -60.00   6.6
-88.50 -60.00   6.5
-88.00 -60.00   6.4
-87.50 -60.00   6.3
-87.00 -60.00   6.4
-86.50 -60.00   6.5
-86.00 -60.00   6.5
-85.50 -60.00   6.6
-85.00 -60.00   6.6
-84.50 -60.00   6.7
-84.00 -60.00   6.7
-83.50 -60.00   6.6
-83.00 -60.00   6.5
-82.50 -60.00   6.4
-82.00 -60.00   6.3
-81.50 -60.00   6.2
-81.00 -60.00   6.0
-80.50 -60.00   5.9
-80.00 -60.00   5.9
-79.50 -60.00   5.9
-79.00 -60.00   5.6
-78.50 -60.00   5.4
-78.00 -60.00   5.1
-77.50 -60.00   4.8
-77.00 -60.00   4.6
-76.50 -60.00   4.4
-76.00 -60.00   4.1
-75.50 -60.00   3.7
-75.00 -60.00   3.3
-74.50 -60.00   3.0
-74.00 -60.00   2.9
-73.50 -60.00   2.8
-73.00 -60.00   2.6
-72.50 -60.00   2.5
-72.00 -60.00   2.3
-71.50 -60.00   2.2
-71.00 -60.00   2.0
-70.50 -60.00   2.0
-70.00 -60.00   1.9
-69.50 -60.00   1.7
-69.00 -60.00   1.6
-68.50 -60.00   1.4
-68.00 -60.00   1.3
-67.50 -60.00   1.2
-67.00 -60.00   1.1
-66.50 -60.00   1.0
-66.00 -60.00   1.0
-65.50 -60.00   0.9
-65.00 -60.00   1.0
-64.50 -60.00   1.2
-64.00 -60.00   1.4
-63.50 -60.00   1.6
-63.00 -60.00   1.7
-62.50 -60.00   1.9
-62.00 -60.00   2.0
-61.50 -60.00   2.2
-61.00 -60.00   2.3
-60.50 -60.00   2.6
-60.00 -60.00   3.2
-59.50 -60.00   3.7
-59.00 -60.00   3.8
-58.50 -60.00   3.9
-58.00 -60.00   4.0
-57.50 -60.00   3.9
-57.00 -60.00   3.9
-56.50 -60.00   3.9
-56.00 -60.00   3.6
-55.50 -60.00   3.2
-55.00 -60.00   2.8
-54.50 -60.00   2.6
-54.00 -60.00   2.6
-53.50 -60.00   2.6
-53.00 -60.00   2.5
-52.50 -60.00   2.5
-52.00 -60.00   2.1
-51.50 -60.00   1.9
-51.00 -60.00   1.9
-50.50 -60.00   1.9
-50.00 -60.00   2.1
-49.50 -60.00   2.3
-49.00 -60.00   2.3
-48.50 -60.00   2.2
-48.00 -60.00   2.1
-47.50 -60.00   2.0
-47.00 -60.00   1.8
-46.50 -60.00   1.5
-46.00 -60.00   1.3
-45.50 -60.00   1.0
-45.00 -60.00   0.8
-44.50 -60.00   0.7
-44.00 -60.00   0.7
-43.50 -60.00   0.6
-43.00 -60.00   0.6
-42.50 -60.00   0.6
-42.00 -60.00   0.6
-41.50 -60.00   0.5
-41.00 -60.00   0.5
-40.50 -60.00   0.4
-40.00 -60.00   0.3
-39.50 -60.00   0.3
-39.00 -60.00   0.4
-38.50 -60.00   0.4
-38.00 -60.00   0.4
-37.50 -60.00   0.4
-37.00 -60.00   0.5
-36.50 -60.00   0.5
-36.00 -60.00   0.6
-35.50 -60.00   0.7
-35.00 -60.00   0.9
-34.50 -60.00   1.0
-34.00 -60.00   1.0
-33.50 -60.00   1.0
-33.00 -60.00   1.2
-32.50 -60.00   1.4
-32.00 -60.00   1.7
-31.50 -60.00   2.0
-31.00 -60.00   2.3
-30.50 -60.00   2.6
-30.00 -60.00   2.9
-29.50 -60.00   3.2
-29.00 -60.00   3.5
-28.50 -60.00   3.9
-28.00 -60.00   4.2
-27.50 -60.00   4.3
-27.00 -60.00   4.2
-26.50 -60.00   4.2
-26.00 -60.00   4.2
-25.50 -60.00   4.2
-25.00 -60.00   4.2
-24.50 -60.00   4.2
-24.00 -60.00   4.2
-23.50 -60.00   4.4
-23.00 -60.00   4.7
-22.50 -60.00   4.8
-22.00 -60.00   5.1
-21.50 -60.00   5.3
-21.00 -60.00   5.4
-20.50 -60.00   5.5
-20.00 -60.00   5.5
-100.00 -59.50   3.4
-99.50 -59.50   3.5
-99.00 -59.50   3.8
-98.50 -59.50   4.1
-98.00 -59.50   4.5
-97.50 -59.50   4.8
-97.00 -59.50   5.0
-96.50 -59.50   5.2
-96.00 -59.50   5.3
-95.50 -59.50   5.4
-95.00 -59.50   5.6
-94.50 -59.50   5.9
-94.00 -59.50   6.3
-93.50 -59.50   6.7
-93.00 -59.50   6.8
-92.50 -59.50   6.9
-92.00 -59.50   6.8
-91.50 -59.50   6.8
-91.00 -59.50   6.8
-90.50 -59.50   6.7
-90.00 -59.50   6.7
-89.50 -59.50   6.5
-89.00 -59.50   6.4
-88.50 -59.50   6.4
-88.00 -59.50   6.5
-87.50 -59.50   6.7
-87.00 -59.50   6.8
-86.50 -59.50   6.8
-86.00 -59.50   6.9
-85.50 -59.50   6.9
-85.00 -59.50   6.9
-84.50 -59.50   6.9
-84.00 -59.50   6.7
-83.50 -59.50   6.5
-83.00 -59.50   6.4
-82.50 -59.50   6.4
